target_name	target_type	ssgsea	heatmap	gene_plot	volcano_highlight
WP_SENESCENCEASSOCIATED_SECRETORY_PHENOTYPE_SASP	geneset	0	0	0	0
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	geneset	0	0	0	0
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	geneset	0	0	0	0
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	geneset	0	0	0	0
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE	geneset	0	0	0	0
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	geneset	0	0	0	0
JAATINEN_HEMATOPOIETIC_STEM_CELL_DN	geneset	0	0	0	0
GERY_CEBP_TARGETS	geneset	0	0	0	0
REACTOME_REGULATION_OF_PTEN_GENE_TRANSCRIPTION	geneset	0	0	0	0
MCBRYAN_PUBERTAL_TGFB1_TARGETS_UP	geneset	0	0	0	0
WONG_ADULT_TISSUE_STEM_MODULE	geneset	0	0	0	0
LEE_BMP2_TARGETS_UP	geneset	0	0	0	0
LEE_NEURAL_CREST_STEM_CELL_UP	geneset	0	0	0	0
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	geneset	0	0	0	0
DDIT3	gene	0	0	0	0
CFB	gene	0	0	0	0
ARRDC3	gene	0	0	0	0
FOS	gene	0	0	0	0
ATF3	gene	0	0	0	0
H1-3	gene	0	0	0	0
H2BC3	gene	0	0	0	0
SCIMP	gene	0	0	0	0
BNIPL	gene	0	0	0	0
LILRA4	gene	0	0	0	0
CD69	gene	0	0	0	0
SDE2	gene	0	0	0	0
IFI30	gene	0	0	0	0
PAIP1P1	gene	0	0	0	0
H3C13	gene	0	0	0	0
SOCS3	gene	0	0	0	0
H1-4	gene	0	0	0	0
H3-3B	gene	0	0	0	0
CDKN1B	gene	0	0	0	0
H4C6	gene	0	0	0	0
EXO1	gene	0	0	0	0
BRCA1	gene	0	0	0	0
VCAN	gene	0	0	0	0
SMAD7	gene	0	0	0	0
HMOX1	gene	0	0	0	0
MMP9	gene	0	0	0	0
ITGA3	gene	0	0	0	0
PROCR	gene	0	0	0	0
KIT	gene	0	0	0	0
HLF	gene	0	0	0	0
MECOM	gene	0	0	0	0
MYCT1	gene	0	0	0	0
MLLT3	gene	0	0	0	0
THY1	gene	0	0	0	0
ADGRG1	gene	0	0	0	0
CD34	gene	0	0	0	0
MTND1P9	gene	0	1	1	1
EEF1B2P1	gene	0	1	1	1
VEPH1	gene	0	1	1	1
MDM2	gene	0	1	1	1
MSI2	gene	0	1	1	1
ARRDC3	gene	0	1	1	1
DENND4A	gene	0	1	1	1
ARRDC1	gene	0	1	1	1
SH3BP5L	gene	0	1	1	1
CMIP	gene	0	1	1	1
BCLAF1	gene	0	1	1	1
DDX6	gene	0	1	1	1
KCNQ3	gene	0	1	1	1
PKD2L2	gene	0	1	1	1
ZBTB48	gene	0	1	1	1
RASGRP1	gene	0	1	1	1
GPR22	gene	0	1	1	1
IQSEC2	gene	0	1	1	1
SLC6A4	gene	0	1	1	1
NAA25	gene	0	1	1	1
HALLMARK_TGF_BETA_SIGNALING	geneset	1	0	0	0
HALLMARK_G2M_CHECKPOINT	geneset	1	0	0	0
IL6_JAK_STAT3_SIGNALING	geneset	1	0	0	0
CLP_VS_HSC_UP	geneset	1	0	0	0
GMP_VS_HSC_UP	geneset	1	0	0	0
HSC_vs_MPP_down	geneset	1	0	0	0
MEP_VS_HSC_UP	geneset	1	0	0	0
SuppTable13_GMP_L_ELANE_signature	geneset	1	0	0	0
Human_young_HSC_set2	geneset	1	0	0	0
GOBP_HUMORAL_IMMUNE_RESPONSE	geneset	1	0	0	0
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE	geneset	1	0	0	0
GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION	geneset	1	0	0	0
